id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99
250000,0.812665,,-1.23912,-0.893251,295.577,15.8712,23.0436,0.942256,29.898,1.11394,-1.31222,-1.11,128.357,7.34446,-1.03063,2.30403,13018510,0.0195585,0.757686,-0.716056,0.0223305,0.141964,8938.11,6.4437,1.13373,6.52705,148.03,80178,3.43441,5.53518,1.27952,8.23541,-1.30646,1.11069,153.408,50.8583,8.34922,-0.717611,1.93471,0.97446,-1.29891,2.30894,0.07532,0.491064,45.3193,21.0993,11.9258,4.01183,-1.0147,93.4686,2.4723,1.62315,28220.2,79.6277,-0.435385,1651,30.455,1.65139,90.1818,0.505812,2.73E+09,100.62,5.18241,0.264471,1.19025,0.566016,0.354571,1.31239,14.3741,0.839548,119.689,-0.0501165,62.5088,1.55966,2.77633,-50.0871,0.247334,0.0353394,6.34367,1.17657,2.10436,0.0105192,-0.393985,-0.243344,3.77018,4.63545,52,-0.144592,3.81875,-0.34757,0.446389,-422.332,-1.4463,1.69075,1.0593,-3.01057,1.94664,0.52947,1.38695,8.78767
250001,0.190344,131,-0.501361,0.801921,64.8866,3.09703,344.805,0.807194,38.4219,1.09695,-5.63655,1.28709,128.25,6.69085,1.83633,0.616096,1618530,0.0673145,-0.808238,-0.320105,0.998695,15.1139,1432.86,1.5751,-1.07891,2.80475,158.629,78013,0.869545,15.6028,1.24232,5.18894,-1.38471,0.893887,168,58.9003,6.44828,1.19522,1.94325,0.966581,-8.59752,2.67154,0.00465937,0.488331,151.61,560.819,6.20549,5.8434,-0.857418,52.0208,1.63499,0.618007,65940.8,82.5252,0.806279,-17,3257.99,3.54311,64.7339,0.387583,6.19E+09,112.323,1.66891,0.292888,1.23355,0.558571,0.268359,0.980215,9.97976,1.82144,-1.32548,0.0475116,20.8764,1.8762,3.72237,268.494,-0.477587,1.69387,6.82245,1.21945,1.20199,-0.00199598,-0.382959,0.12406,2.11821,5.18402,70,0.256226,18.0312,23.5723,0.377179,10352.2,21.0627,1.84351,0.251895,4.44057,1.90309,0.248534,0.863881,11.7939
250002,0.919671,19,-0.0573818,0.901419,11961.2,16.3965,273.24,-0.00330034,37.94,1.15222,-3.40328,0.142553,152.386,15.0852,1.55487,1.65475,17563785,-0.166851,-1.2627,1.4112,0.0039904,8.78017,4043.78,7.05112,-1.01288,10.0445,121.983,88912,-0.486979,8.97968,1.19842,8.58212,-0.293621,1.88358,120.411,110.36,5.18177,1.36578,-1.25788,0.928871,5.28449,2.10284,0.0917945,0.520486,82.0779,74.4712,6.09813,2.65875,-0.339302,110.073,2.43819,0.0134372,34353.4,93.1586,3.08992,825,464.775,1.62928,88.2927,0.0995244,3.35E+09,34.8437,5.33377,0.351806,1.38724,0.392356,0.148567,1.07647,5.34354,-2.06249,144.71,-0.169986,39.3509,2.32312,3.01259,23.2484,0.511384,1.32538,7.33185,1.17367,1.39359,0.00112002,-0.199941,0.0274051,4.3142,3.24285,501,-0.141364,4.78365,0.0683779,0.99014,3224.02,-2.25287,1.551,-0.559157,17.8386,1.83385,0.931796,2.33687,9.054
250003,0.860985,19,-0.549509,0.471799,7501.6,2.80698,71.0817,0.792136,0.395235,1.20157,0.870915,1.27131,157.147,5.84885,1.38564,0.617328,252991,0.10845,0.479338,-0.71977,0.319796,25.2003,-170.328,7.52639,0.739869,0.736874,129.194,15850,11.3217,4.59213,1.38778,4.91686,-0.0106394,5.17564,118.858,13.9613,2.38068,0.883522,1.28392,1.42733,3.12177,1.74406,0.269816,0.63781,133.78,57.7544,3.81785,9.2302,-1.29815,165.785,1.37718,1.29586,-10886.4,94.3216,-0.207208,160,447.421,1.49957,89.3567,0.897223,2.36E+09,50.3343,2.28095,0.120234,1.19965,0.666303,0.374107,1.29536,6.90924,-0.851826,0.407165,-0.0574414,41.2673,3.05986,2.84968,292.196,-1.12102,-0.0701872,12.1671,1.16699,1.72514,0.000550532,-0.616739,-0.375774,6.05398,4.43417,43,-0.221611,8.38631,0.602831,1.39688,9689.76,14.7715,1.4139,0.329272,0.802437,2.23251,0.893348,1.35947,4.84833
250004,0.313229,89,0.588509,0.167705,2931.26,4.34986,1.57187,1.1183,7.75463,1.16807,0.671417,1.63982,128.023,17.3336,1.97164,0.252077,481327,0.102064,-0.442613,-0.636058,0.023135,13.507,10276.2,3.36025,-1.42571,5.31575,139.739,10964,3.0741,5.44446,1.14152,7.2739,0.262139,1.24172,118.918,778.04,7.34067,0.654133,1.2779,0.983787,-4.46793,-0.791459,0.124917,0.111257,174.786,50.4495,18.3246,7.89154,0.996365,164.209,1.36302,1.3113,-6608.04,97.9588,-0.181913,709,28748.4,1.62714,102.277,-0.248192,7.54E+09,121.86,4.11762,0.203425,1.23336,0.463874,0.253861,0.60342,-2.93654,1.20157,77.5471,0.0420326,58.9586,3.61125,1.85938,22610.8,1.16377,-1.96972,6.87258,1.15139,1.66279,0.012828,-0.20146,-0.0870815,3.44778,5.18196,94,1.48931,7.49886,1.21205,0.862502,2693.35,44.1805,1.5802,-0.191021,26.253,2.68238,0.361923,1.5328,3.7066
250005,0.609949,68,-3.13731,0.88176,163.023,5.8826,228.664,-0.182392,63.6632,1.1597,1.73729,-1.22222,157.465,11.8693,1.27083,0.175982,334172,0.17456,-0.552004,0.788962,0.0391393,6.03337,4095.06,8.15497,-1.04307,5.46039,131.577,83049,0.167088,7.25383,1.20318,5.91932,0.652841,0.890049,160.545,218.352,3.13618,0.630608,0.998924,0.791867,20.3537,2.34767,0.0715382,0.205694,358.702,37.8642,20.2463,3.72925,-0.727478,249.94,1.74156,2.05801,-1013.13,80.0648,2.453,1959,118.708,2.0499,75.3605,-0.169531,1.38E+09,66.5485,8.15027,0.267809,1.1788,0.0760395,0.247786,2.05441,-1.33746,1.28243,189.129,0.0504037,39.1607,1.4417,4.96219,-87.7653,-0.000640982,2.60165,10.8583,1.60155,3.13202,0.0276148,-0.264954,0.0279289,4.94769,3.95312,1056,0.969788,10.0127,13.8953,0.0326014,28575.5,34.3286,1.82261,-0.446656,-4.23949,2.64962,0.248836,1.57866,18.2697
250006,0.379637,25,0.401351,-0.663611,20223.8,2.0664,259.734,-0.75964,-14.8023,1.1736,2.35947,0.984905,119.001,13.2012,1.097,0.976913,3805012,-0.131543,0.37507,0.832032,0.812152,10.2915,474.621,6.95654,0.857459,1.18854,116.256,77382,-0.164413,4.42323,0.990264,11.5529,-1.1197,1.08443,131.973,117.294,10.2714,-0.204335,0.883538,-0.00808084,-3.19183,0.808776,0.0438155,0.108118,119.56,54.2506,6.94711,11.7321,0.407927,49.0363,3.47556,0.988886,35579.1,52.1022,0.655821,644,5780.71,1.25105,50.7719,-0.705621,2.04E+09,0.862287,7.80229,0.364964,1.18762,0.940361,0.214085,0.999766,2.73165,1.0286,148.155,-0.133857,42.4038,2.31447,6.28009,4937.55,-0.0184014,-0.879738,5.27341,1.19474,1.80641,-0.0361934,-0.486787,-0.488399,2.3793,4.91489,514,-0.336975,5.58764,0.629286,2.34013,65.7341,35.6971,1.63706,0.991386,15.8695,2.92071,0.487004,2.40466,12.1915
250007,0.0218078,26,-0.10596,0.444203,-42.4183,8.08015,39.6986,1.16525,2.16518,1.11857,-1.88504,0.811687,121.247,3.47048,1.24589,0.516646,29613083,0.0152568,-0.917716,-0.57548,0.0103537,24.6644,177.836,1.57457,-0.852609,11.9639,114.405,10266,4.29685,10.3553,1.14306,1.77703,-0.628278,1.84247,132.445,12.1471,2.35017,1.63958,0.837258,0.908992,3.51578,2.47181,0.134151,0.010943,186.062,117.239,8.04529,5.89203,-1.04885,55.704,1.11568,1.12893,35.4568,108.378,-0.481465,1685,-944.405,1.47696,85.7068,0.60607,4.82E+09,28.256,4.7234,0.0831435,1.15776,0.479363,0.235141,2.17486,5.45304,1.48555,59.7152,0.069442,99.1523,1.69741,3.06395,712.712,1.49292,-0.471667,9.69017,1.18911,1.51189,0.0107319,-0.694398,0.483202,7.15832,5.20371,60,-0.323331,10.4112,-0.660543,0.20372,8018.62,49.2281,1.59168,-0.395622,3.3607,2.72803,0.732935,1.55541,12.8629
250008,0.834312,130,-0.822551,-0.729246,2729.07,1.37737,35.7686,0.371092,8.54924,1.12929,-0.562454,0.717348,120.362,5.68008,-0.530475,0.605014,191269,-0.059405,0.520096,0.512765,0.277493,8.62991,8874.83,8.31979,-1.14221,2.36478,126.76,235,0.84574,5.14082,1.21292,6.80418,0.621705,1.24659,146.583,5.46619,10.5501,0.902872,1.23032,1.1166,7.53456,2.12758,0.101882,0.292578,19.2584,5.76462,10.9819,5.35543,0.946797,51.2118,1.38349,0.00312063,1971.25,80.6681,1.4159,1522,1855.54,3.78263,100.471,-0.186001,3.76E+09,48.3598,3.30513,0.320158,1.18704,0.0618469,0.0981077,1.74195,-0.348805,1.43859,71.362,0.0150551,119.869,3.20066,4.52802,2275.64,0.912865,1.15555,2.65686,1.02456,1.63184,0.00199844,-0.58363,-0.229624,2.7729,4.85182,-2,0.216872,9.04494,1.47787,1.38689,32.9142,29.0052,3.50167,-0.258625,0.87533,3.50338,0.430537,1.74039,4.33501
250009,0.867402,9,-0.433148,0.0955632,5260.24,14.0356,146.755,0.600824,41.911,1.25636,-1.29905,0.810028,116.906,12.1697,1.66954,0.730174,252860,-0.0256492,0.975429,-0.160578,0.15622,10.8295,-103.531,4.58372,-0.794713,7.87375,128.727,78240,15.3955,5.13183,1.26232,6.84021,1.00632,0.0621886,123.253,768.834,4.27118,-0.346259,1.24432,0.973838,-5.87359,2.04848,0.109183,0.248022,12.8953,0.0217147,5.55682,6.15083,-0.39355,54.0392,3.36235,1.39303,281.707,68.2462,-0.117675,18,22.1949,1.33943,60.0783,-0.633409,3.22E+09,70.899,4.7076,0.247936,1.22269,0.638685,0.229202,1.2137,-2.19503,2.69317,112.219,0.0358043,40.5757,2.85839,2.81337,13880.3,0.873488,-2.93919,5.12204,1.10012,1.19434,0.0224231,-0.315615,-0.926003,4.66461,4.3057,98,0.477838,2.53927,-0.62208,0.0461014,633.183,29.227,3.41113,1.05493,5.98777,1.9813,0.768701,1.23334,1.68458
